Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
2253,"Grimke",34.8,17.2,-144.7,
2256,"Grizodubova Patera",50,16.7,-60.4,
2265,"Guan Daosheng",43.6,-61.1,-178.2,
2267,"Gudrun",13.3,10.6,-33.6,
2269,"Gui Ye Chasma",210,-9,-22.9,
2271,"Guilbert",25.5,-58,13.6,
2273,"Guinevere Planitia",7520,21.9,-35,
2276,"Gula Mons",276,21.9,-0.9,
2277,"Gulaim Fossae",800,-5,-31,
2279,"Gulchatay",9,20.5,-64.5,
2281,"Gulnara",5,-23.7,174,
2283,"Gunda Planitia",1200,-16,-93,
2287,"Guor Linea",0,20,0,
2288,"Gurshi Mons",210,-47.5,58.5,
2293,"Guzel",7.3,-57.6,-61.3,
2295,"Gwen Mons",200,-21.4,-121.3,
2299,"Gwynn",32,9.7,37.2,
2306,"Haasttse-baad Tessera",2600,6,127,
2307,"Habonde Corona",125,3,81.8,
2308,"Hadisha",8.9,-39,97.2,
2326,"Halima",8.9,28.5,14.6,
